text,target
មនុស្សសម័យនេះប្រែប្រួលអស់ហើយ ព្រមទាំងមនុស្សខ្ញុំស្រលាញ់,Negative
គ្រាំទ្រអោយពួកប្អូនរៀនហាត់បន្ថែម,Positive 
ហេតុអ្វីក៏អូនលួចអ្នកថ្មី,Negative
ខ្ញុំអ្នកកម្ពុជាក្រោមជំរាបសួរបងប្អូនខ្មែរយើងទាំងអស់គ្នាបាទ!សូមជួបតែសំណាងល្អទាំងអស់គ្នា,Positive 
ខ្មែរយើងត្រូវតែខ្លាំងកុំអោយអ្នកជិតខាងយើងគេមើលងាយយើង,Positive 
ក្មេងជំនាន់ក្រោយសម្ថភាពកាន់តែខ្លាំងហើយ,Positive 
បទស្អីចឹងស្មានតែឡូយណាស់មែន,Negative
ខ្ញុំចូរចិត្តពីនឹងណាស់,Positive 
ខ្ញុំស្ដាប់មិនចេះធុញទេ,Positive 
ស្ដាប់ហើយមានអារម្មណ៍ស្រស់ស្រាយ,Positive 
ស្ដាប់បទនឹងហើយមានអារម្ភល្អម៉ង,Positive 
ស្តាប់ហើយរំភើបចង់មានស្នេហ៍កាន់ដៃគ្នារហូតតទៅ,Positive 
ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive
ខ្ញុំមិនពេញចិត្តជាមួយបទចម្រៀងនេះ។,Negative
បរិយាកាសនៅហាងនេះមិនល្អ។,Negative
រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
ខ្ញុំចូលចិត្តម៉ាកនេះជាពិសេស។,Positive
ខ្ញុំបានទទួលទំនិញយ៉ាងឆាប់រហ័ស។,Positive
ការបម្រើអតិថិជននៅទីនេះគឺល្អឥតខ្ចោះ។,Positive
បទថ្មីនេះមិនទាក់ចិត្ត។,Negative
ការសម្តែងរបស់តារាសម្តែងគ្មានគុណភាព។,Negative
បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive
ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative
ខ្ញុំមានបទពិសោធន៍ល្អជាមួយសេវាកម្មនេះ។,Positive
ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive
សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive
សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative
ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive
ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive
រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
បទថ្មីនេះមិនទាក់ចិត្ត។,Negative
ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive
សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive
ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive
ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive
សេវាកម្មនេះធ្វើឱ្យខ្ញុំមានអារម្មណ៍ពេញចិត្ត។,Positive
សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive
ការបម្រើអតិថិជនយឺតខ្លាំង។,Negative
ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative
ការបម្រើអតិថិជននៅទីនេះគឺល្អឥតខ្ចោះ។,Positive
ការចាក់សម្លេងមានគុណភាពខ្ពស់។,Positive
ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive
ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative
សេវាកម្មនេះធ្វើឱ្យខ្ញុំមានអារម្មណ៍ពេញចិត្ត។,Positive
ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative
ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive
សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive
សេវាកម្មនេះធ្វើឱ្យខ្ញុំមានអារម្មណ៍ពេញចិត្ត។,Positive
ភាពយន្តនេះធុញទ្រាន់។,Negative
ភាពយន្តនេះធុញទ្រាន់។,Negative
ការបម្រើអតិថិជនយឺតខ្លាំង។,Negative
បរិយាកាសនៅហាងនេះមិនល្អ។,Negative
សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive
ការចាក់សម្លេងមានគុណភាពខ្ពស់។,Positive
គុណភាពទំនិញល្អណាស់។,Positive
ការចាក់សម្លេងមានបញ្ហា។,Negative
សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative
សេវាកម្មនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
ខ្ញុំចូលចិត្តម៉ាកនេះជាពិសេស។,Positive
ការចាក់សម្លេងមានបញ្ហា។,Negative
សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative
បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive
សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative
ភាពយន្តនេះធុញទ្រាន់។,Negative
បទចម្រៀងនេះមិនមានអារម្មណ៍។,Negative
សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative
ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative
ការដឹកជញ្ជូនយឺត។,Negative
រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
ផលិតផលនេះគុណភាពល្អណាស់។,Positive
គុណភាពទំនិញល្អណាស់។,Positive
ការដឹកជញ្ជូនយឺត។,Negative
ភាពយន្តនេះធុញទ្រាន់។,Negative
គុណភាពទំនិញមិនគួរជឿ។,Negative
រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
បទថ្មីនេះមិនទាក់ចិត្ត។,Negative
ការដឹកជញ្ជូនលឿនល្អឥតខ្ចោះ។,Positive
ខ្ញុំបានទទួលទំនិញយ៉ាងឆាប់រហ័ស។,Positive
ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative
រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
រឿងថ្មីនេះល្អឥតខ្ចោះ។,Positive
ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative
ការសម្តែងរបស់តារាសម្តែងគួរឱ្យសរសើរ។,Positive
ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative
ការចាក់សម្លេងមានបញ្ហា។,Negative
រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
ការចាក់សម្លេងមានបញ្ហា។,Negative
រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
ការសម្តែងនៅលើឆាកធុញទ្រាន់។,Negative
បទចម្រៀងនេះមិនមានអារម្មណ៍។,Negative
ខ្ញុំបានទទួលទំនិញយ៉ាងឆាប់រហ័ស។,Positive
សេវាកម្មនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive
រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
ខ្ញុំមានបទពិសោធន៍ល្អជាមួយសេវាកម្មនេះ។,Positive
ភាពយន្តនេះល្អលើសការរំពឹងទុក។,Positive
ខ្ញុំបានទទួលទំនិញយ៉ាងឆាប់រហ័ស។,Positive
បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive
សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive
បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive
រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
ការបម្រើអតិថិជនយឺតខ្លាំង។,Negative
ការបម្រើអតិថិជននៅទីនេះគឺល្អឥតខ្ចោះ។,Positive
គុណភាពទំនិញល្អណាស់។,Positive
ខ្ញុំមិនពេញចិត្តជាមួយបទចម្រៀងនេះ។,Negative
បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive
សេវាកម្មនេះធ្វើឱ្យខ្ញុំមានអារម្មណ៍ពេញចិត្ត។,Positive
ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative
ភាពយន្តនេះល្អលើសការរំពឹងទុក។,Positive
ខ្ញុំមានបទពិសោធន៍ល្អជាមួយសេវាកម្មនេះ។,Positive
រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
ការដឹកជញ្ជូនយឺត។,Negative
បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive
ការសម្តែងរបស់តារាសម្តែងគួរឱ្យសរសើរ។,Positive
ការសម្តែងនៅលើឆាកធុញទ្រាន់។,Negative
ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive
ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive
ភាពយន្តនេះធុញទ្រាន់។,Negative
ភាពយន្តនេះធុញទ្រាន់។,Negative
សេវាកម្មនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive
ខ្ញុំមិនពេញចិត្តជាមួយបទចម្រៀងនេះ។,Negative
សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive
បទចម្រៀងនេះមិនល្អ។,Negative
បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive
ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative
ការបម្រើអតិថិជនយឺតខ្លាំង។,Negative
រឿងថ្មីនេះល្អឥតខ្ចោះ។,Positive
ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative
ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive
ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative
ភាពយន្តនេះល្អលើសការរំពឹងទុក។,Positive
បរិយាកាសនៅហាងនេះល្អឥតខ្ចោះ។,Positive
ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive
បទថ្មីនេះមិនទាក់ចិត្ត។,Negative
បទចម្រៀងនេះមិនល្អ។,Negative
ភាពយន្តនេះធុញទ្រាន់។,Negative
ផលិតផលនេះគុណភាពទាប។,Negative
សេវាកម្មនេះធ្វើឱ្យខ្ញុំមានអារម្មណ៍ពេញចិត្ត។,Positive
ការដឹកជញ្ជូនយឺត។,Negative
បទថ្មីនេះមានទាស់។,Positive
ការសម្តែងរបស់តារាសម្តែងគ្មានគុណភាព។,Negative
ការដឹកជញ្ជូនយឺត។,Negative
ការសម្តែងនៅលើឆាកធុញទ្រាន់។,Negative
គុណភាពទំនិញល្អណាស់។,Positive
ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive
បទថ្មីនេះមានទាស់។,Positive
ភាពយន្តនេះធុញទ្រាន់។,Negative
បទចម្រៀងនេះមិនល្អ។,Negative
ការបម្រើអតិថិជននៅទីនេះគឺល្អឥតខ្ចោះ។,Positive
បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive
ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative
ខ្ញុំមិនពេញចិត្តជាមួយបទចម្រៀងនេះ។,Negative
បទចម្រៀងនេះមិនមានអារម្មណ៍។,Negative
ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative
ការសម្តែងរបស់តារាសម្តែងគួរឱ្យសរសើរ។,Positive
ភាពយន្តនេះធុញទ្រាន់។,Negative
បរិយាកាសនៅហាងនេះល្អឥតខ្ចោះ។,Positive
ខ្ញុំមិនពេញចិត្តជាមួយបទចម្រៀងនេះ។,Negative
ការចាក់សម្លេងមានគុណភាពខ្ពស់។,Positive
ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative
ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative
ការសម្តែងរបស់តារាសម្តែងគួរឱ្យសរសើរ។,Positive
បទថ្មីនេះមានទាស់។,Positive
ខ្ញុំចូលចិត្តម៉ាកនេះជាពិសេស។,Positive
ការសម្តែងនៅលើឆាកធុញទ្រាន់។,Negative
ភាពយន្តនេះធុញទ្រាន់។,Negative
សេវាកម្មនេះធ្វើឱ្យខ្ញុំមានអារម្មណ៍ពេញចិត្ត។,Positive
ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive
ខ្ញុំចូលចិត្តម៉ាកនេះជាពិសេស។,Positive
ភាពយន្តនេះធុញទ្រាន់។,Negative
គុណភាពទំនិញល្អណាស់។,Positive
ផលិតផលនេះគុណភាពល្អណាស់។,Positive
ផលិតផលនេះគុណភាពទាប។,Negative
ការបម្រើអតិថិជនយឺតខ្លាំង។,Negative
ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative
រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
ផលិតផលនេះគុណភាពទាប។,Negative
ការចាក់សម្លេងមានគុណភាពខ្ពស់។,Positive
បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive
ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive
បទចម្រៀងនេះមិនល្អ។,Negative
ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative
ខ្ញុំបានទទួលទំនិញយ៉ាងឆាប់រហ័ស។,Positive
ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive
ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive
ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative
រឿងថ្មីនេះល្អឥតខ្ចោះ។,Positive
បទថ្មីនេះមានទាស់។,Positive
ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive
សេវាកម្មនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
ការចាក់សម្លេងមានគុណភាពខ្ពស់។,Positive
បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive
ការដឹកជញ្ជូនលឿនល្អឥតខ្ចោះ។,Positive
ការសម្តែងរបស់តារាសម្តែងគួរឱ្យសរសើរ។,Positive
ការសម្តែងរបស់តារាសម្តែងគ្មានគុណភាព។,Negative
ការបម្រើអតិថិជននៅទីនេះគឺល្អឥតខ្ចោះ។,Positive
បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive
បទថ្មីនេះមិនទាក់ចិត្ត។,Negative
ការបម្រើអតិថិជនយឺតខ្លាំង។,Negative
ម៉ាកនេះមិនគួរជឿទុកចិត្ត។,Negative
បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive
ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative
ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive
ខ្ញុំមានបទពិសោធន៍ល្អជាមួយសេវាកម្មនេះ។,Positive
ភាពយន្តនេះធុញទ្រាន់។,Negative
ខ្ញុំចូលចិត្តម៉ាកនេះជាពិសេស។,Positive
បទថ្មីនេះមានទាស់។,Positive
បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive
ការសម្តែងរបស់តារាសម្តែងគ្មានគុណភាព។,Negative
សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative
រឿងថ្មីនេះល្អឥតខ្ចោះ។,Positive
នំប៉័ងនេះមានរសជាតិឆ្ងាញ់ណាស់ ស្រស់ៗ និងមានក្លិនឈ្ងុយ,Positive
សេវាកម្មនៅហាងនេះគួរឱ្យខកចិត្តណាស់ បុគ្គលិកមិនសូវយកចិត្តទុកដាក់,Negative
ខ្សែភាពយន្តថ្មីនេះធ្វើបានល្អណាស់ តួសម្ដែងពូកែៗ រឿងរ៉ាវគួរឱ្យចាប់អារម្មណ៍,Positive
តម្លៃទំនិញថ្លៃពេក មិនសមនឹងគុណភាពទេ,Negative
កម្មវិធីតន្ត្រីមិនសូវពិរោះ អ្នកចម្រៀងច្រៀងមិនចំណង្វាក់,Negative
ទូរស័ព្ទថ្មីនេះប្រើប្រាស់ងាយស្រួល ថ្មល្អ កាមេរ៉ាច្បាស់,Positive
សម្លៀកបំពាក់គុណភាពអន់ ថ្លៃហើយរែកលុយមួយខែ,Negative
ជាងកាត់សក់មានជំនាញខ្ពស់ កាត់បានស្អាតត្រូវចិត្ត,Positive
តន្ត្រីកម្សាន្តនៅក្លឹបនេះពិរោះណាស់ បទចម្រៀងទាន់សម័យ,Positive
កាបូបថ្មីនេះគុណភាពល្អណាស់ ធន់ហើយស្អាត,Positive
សេវាកម្មអតិថិជនមិនល្អ រង់ចាំយូរពេក,Negative
កម្មវិធីទូរទស្សន៍នេះគួរឱ្យចាប់អារម្មណ៍ណាស់ មានការច្នៃប្រឌិតខ្ពស់,Positive
ស្មាតហ្វូននេះថ្មបានរយៈពេលខ្លីណាស់ មិនសមនឹងតម្លៃ,Negative
ភាពយន្តនេះធ្វើឱ្យខ្ញុំអស់សំណើច សម្តែងបានល្អណាស់,Positive
ទូរទស្សន៍ថ្មីនេះមានបញ្ហាច្រើន ត្រូវជួសជុលច្រើនដង,Negative
សេវាកម្មស្ប៉ាល្អណាស់ បុគ្គលិកមានជំនាញខ្ពស់,Positive
គុណភាពសម្លៀកបំពាក់ល្អណាស់ តម្លៃសមរម្យ,Positive
បុគ្គលិកធនាគារមិនសូវរួសរាយ ធ្វើការយឺតយ៉ាវ,Negative
កម្មវិធីប្រគំតន្ត្រីមិនសូវល្អ អ្នកចម្រៀងច្រៀងពាក់អត់សូវពិរោះ,Negative
ទូរស័ព្ទនេះមានមុខងារច្រើន ប្រើប្រាស់ងាយស្រួល,Positive
រឿងភាគថ្មីនេះគួរឱ្យចាប់អារម្មណ៍ តួឯកសម្តែងពូកែ,Positive
កាមេរ៉ាថ្មីនេះថតរូបមិនសូវច្បាស់ ប្រើការមិនបានយូរ,Negative
សេវាកម្មជួសជុលល្អណាស់ ជាងមានជំនាញ,Positive
ភាពយន្តនេះធ្វើឱ្យខ្ញុំខកចិត្តណាស់ ចំណាយពេលមើលឥតប្រយោជន៍,Negative
ទូរទស្សន៍នេះមានគុណភាពល្អ រូបភាពច្បាស់,Positive
សណ្ឋាគារនេះមានសេវាកម្មល្អណាស់ បុគ្គលិកមានវិជ្ជាជីវៈខ្ពស់,Positive
កម្មវិធីសិល្បៈនេះគួរឱ្យចាប់អារម្មណ៍ មានការច្នៃប្រឌិតថ្មី,Positive
គុណភាពឈុតការងារមិនល្អ កាត់ដេរមិនស្អាត,Negative
ការសម្តែងរបស់តារាចម្រៀងនេះអស្ចារ្យណាស់ សំឡេងពីរោះ,Positive
ទូរស័ព្ទនេះលេងហ្គេមរអិល ប្រព័ន្ធដំណើរការយឺត,Negative
សេវាកម្មហាងកាត់សក់ល្អណាស់ តម្លៃសមរម្យ,Positive
ម៉ាស៊ីនត្រជាក់នេះត្រជាក់ល្អណាស់ សន្សំសំចៃថាមពល,Positive
សេវាកម្មអ៊ីនធឺណិតដំណើរការមិនល្អ ភ្ជាប់ដាច់ៗ,Negative
កម្មវិធីរាំនេះរីករាយណាស់ អ្នកចូលរួមសប្បាយ,Positive
កង់ថ្មីនេះប្រើការបានល្អណាស់ តម្លៃសមរម្យ,Positive
សេវាកម្មជួសជុលយឺតយ៉ាវ តម្លៃថ្លៃពេក,Negative
ការសម្តែងរបាំប្រពៃណីនេះល្អណាស់ សិល្បៈករមានទេពកោសល្យ,Positive
កុំព្យូទ័រនេះដំណើរការយឺត មិនស័ក្តិសមនឹងតម្លៃ,Negative
សេវាកម្មបោកគក់ល្អណាស់ ខោអាវស្អាត,Positive
តន្ត្រីនៅក្លឹបនេះឮខ្លាំងពេក មិនអាចជជែកគ្នាបាន,Negative
ទូរទឹកកកនេះត្រជាក់ល្អ ប្រើថាមពលតិច,Positive
ព្រឹត្តិការណ៍កីឡានេះគួរឱ្យរំភើប កីឡាករលេងពូកែ,Positive
វិទ្យុនេះស្តាប់មិនសូវច្បាស់ មានសំឡេងរំខាន,Negative
សេវាកម្មធានារ៉ាប់រងល្អណាស់ មានភាពងាយស្រួល,Positive
កម្មវិធីសម្តែងសៀកនេះអស្ចារ្យណាស់ សិល្បៈករសម្តែងបានល្អ,Positive
ម៉ូតូថ្មីនេះប្រើប្រេងច្រើន ថែទាំពិបាក,Negative
ការប្រកួតបាល់ទាត់នេះគួរឱ្យរំភើប ក្រុមទាំងពីរលេងល្អ,Positive
ម៉ាស៊ីនបោកគក់នេះសំឡេងខ្លាំង ប្រើអគ្គិសនីច្រើន,Negative
សេវាកម្មជួលរថយន្តល្អណាស់ ឡានថ្មី ស្អាត,Positive
ការសម្តែងល្ខោននេះគួរឱ្យធុញ រឿងវែងពេក,Negative
កៅអីការិយាល័យនេះផាសុខណាស់ គុណភាពល្អ,Positive
ការសម្តែងសៀកនេះល្អណាស់ មានការច្នៃប្រឌិតថ្មី,Positive
ទូរស័ព្ទនេះថតរូបស្អាត ប្រើប្រាស់ងាយស្រួល,Positive
សេវាកម្មដឹកជញ្ជូនយឺតយ៉ាវ ទំនិញខូចខាត,Negative
ភាពយន្តឯកសារនេះផ្តល់ចំណេះដឹងល្អ,Positive
កាបូបស្បែកនេះដេរមិនស្អាត ប្រេះបែកលឿន,Negative
សេវាកម្មសម្អាតផ្ទះល្អណាស់ បុគ្គលិកខិតខំធ្វើការ,Positive
កម្មវិធីចម្រៀងនេះមិនសូវទាក់ទាញ បទចាស់ៗច្រើន,Negative
